WUSTLID,wave,ECON2A,ECON2B,ECON1A,ECON1B,ECON4A,ECON4B
989874,66,NA,NA,NA,NA,NA,NA
989874,68,NA,NA,NA,NA,NA,NA
989874,69,NA,NA,NA,NA,NA,NA
989875,1,2,2,1,3,3,3
989875,2,NA,NA,NA,NA,NA,NA
989875,3,1,2,2,4,3,3
989875,4,NA,NA,NA,NA,NA,NA
989875,5,1,2,2,2,1,2
989875,6,NA,NA,NA,NA,NA,NA
989875,7,1,2,2,3,2,1
989875,8,1,2,2,3,1,5
989875,9,2,1,2,3,1,4
989875,10,NA,NA,NA,NA,NA,NA
989875,11,2,2,4,3,2,4
989875,12,2,2,4,4,2,4
989875,13,NA,NA,NA,NA,NA,NA
989875,26,3,2,4,3,4,3
989875,27,NA,NA,NA,NA,NA,NA
989875,28,3,2,4,3,3,4
989875,29,NA,NA,NA,NA,NA,NA
989875,30,3,2,4,3,4,3
989875,31,NA,NA,NA,NA,NA,NA
989875,32,3,2,2,3,4,3
989875,33,NA,NA,NA,NA,NA,NA
989875,34,2,2,2,3,3,1
989875,35,NA,NA,NA,NA,NA,NA
989875,36,2,2,2,3,4,3
989875,37,NA,NA,NA,NA,NA,NA
989875,38,3,2,4,3,4,3
989875,39,3,2,5,3,4,4
989875,40,3,2,4,3,4,3
989875,41,NA,NA,NA,NA,NA,NA
989875,42,3,2,4,3,2,4
989875,43,NA,NA,NA,NA,NA,NA
989875,44,3,2,3,3,2,4
989875,45,NA,NA,NA,NA,NA,NA
989875,46,3,2,3,3,2,4
989875,47,3,2,4,3,3,4
989875,48,3,2,4,3,3,4
989875,49,NA,NA,NA,NA,NA,NA
989875,50,3,2,4,3,4,3
989875,51,NA,NA,NA,NA,NA,NA
989875,52,3,2,3,3,4,2
989875,53,3,2,3,3,4,2
989875,54,3,2,3,3,4,4
989875,55,NA,NA,2,3,NA,NA
989875,56,3,2,2,3,2,2
989875,57,NA,NA,2,3,NA,NA
989875,58,3,2,3,3,2,3
989875,59,NA,NA,NA,NA,NA,NA
989875,60,3,2,3,3,4,2
989875,61,NA,NA,NA,NA,NA,NA
989875,62,3,2,4,3,3,4
989875,64,3,2,3,3,3,4
989875,66,2,3,3,4,3,3
989875,68,3,2,3,4,3,3
989875,69,3,2,3,3,3,3
989876,1,3,1,3,2,3,3
989876,2,NA,NA,NA,NA,NA,NA
989876,3,3,2,4,4,3,3
989876,4,NA,NA,NA,NA,NA,NA
989876,5,3,2,4,4,3,4
989876,6,NA,NA,NA,NA,NA,NA
989876,7,3,2,3,4,3,3
989876,8,3,2,3,4,3,3
989876,9,3,3,3,3,2,4
989876,10,NA,NA,NA,NA,NA,NA
989876,11,3,3,4,4,3,3
989876,12,3,3,3,4,3,3
989876,13,NA,NA,NA,NA,NA,NA
989876,26,3,3,4,4,3,3
989876,27,NA,NA,NA,NA,NA,NA
989876,28,3,3,4,4,2,4
989876,29,NA,NA,NA,NA,NA,NA
989876,30,3,2,3,4,2,4
989876,31,NA,NA,NA,NA,NA,NA
989876,32,3,2,4,4,2,4
989876,33,NA,NA,NA,NA,NA,NA
989876,34,3,2,4,4,4,2
989876,35,NA,NA,NA,NA,NA,NA
989876,36,3,2,3,4,2,4
989876,37,NA,NA,NA,NA,NA,NA
989876,38,3,3,4,4,2,4
989876,39,3,2,3,4,3,3
989876,40,4,2,4,4,3,3
989876,41,NA,NA,NA,NA,NA,NA
989876,42,3,2,3,4,3,3
989876,43,NA,NA,NA,NA,NA,NA
989876,44,4,3,3,4,2,4
989876,45,NA,NA,NA,NA,NA,NA
989876,46,3,2,3,4,3,3
989876,47,3,2,3,4,3,3
989876,48,NA,NA,NA,NA,NA,NA
989876,49,NA,NA,NA,NA,NA,NA
989876,50,3,2,3,4,3,3
989876,51,NA,NA,NA,NA,NA,NA
989876,52,3,3,3,4,2,3
989876,53,3,2,3,4,2,3
989876,54,3,2,3,4,2,4
989876,55,NA,NA,3,4,NA,NA
989876,56,3,2,3,3,2,4
989876,57,NA,NA,3,4,NA,NA
989876,58,3,3,4,4,2,4
989876,59,NA,NA,NA,NA,NA,NA
989876,60,NA,NA,NA,NA,NA,NA
989876,61,NA,NA,NA,NA,NA,NA
989876,62,3,3,3,4,2,4
989876,64,3,3,3,3,2,3
989876,66,NA,NA,NA,NA,NA,NA
989876,68,3,2,3,3,3,2
989876,69,NA,NA,NA,NA,NA,NA
989877,1,1,2,3,4,3,3
989877,2,NA,NA,NA,NA,NA,NA
989877,3,1,1,3,4,3,3
989877,4,NA,NA,NA,NA,NA,NA
989877,5,1,2,3,2,3,3
989877,6,NA,NA,NA,NA,NA,NA
989877,7,NA,1,3,3,3,3
989877,8,1,1,3,3,3,3
989877,9,1,2,3,3,3,3
989877,10,NA,NA,NA,NA,NA,NA
989877,11,2,2,3,NA,2,4
989877,12,2,2,3,3,3,3
989877,13,NA,NA,NA,NA,NA,NA
989877,26,1,1,3,3,3,3
989877,27,NA,NA,NA,NA,NA,NA
989877,28,2,NA,2,NA,2,3
989877,29,NA,NA,NA,NA,NA,NA
989877,30,2,2,2,3,2,3
989877,31,NA,NA,NA,NA,NA,NA
989877,32,NA,2,1,2,3,3
989877,33,NA,NA,NA,NA,NA,NA
989877,34,1,2,NA,NA,1,3
989877,35,NA,NA,NA,NA,NA,NA
989877,36,1,2,2,3,3,3
989877,37,NA,NA,NA,NA,NA,NA
989877,38,1,2,3,3,2,3
989877,39,1,2,2,3,3,2
989877,40,1,2,2,3,3,4
989877,41,NA,NA,NA,NA,NA,NA
989877,42,2,2,4,3,3,3
989877,43,NA,NA,NA,NA,NA,NA
989877,44,2,2,3,NA,3,3
989877,45,NA,NA,NA,NA,NA,NA
989877,46,1,2,3,3,3,3
989877,47,NA,NA,NA,NA,NA,NA
989877,48,2,NA,3,2,4,3
989877,49,NA,NA,NA,NA,NA,NA
989877,50,2,2,3,4,2,4
989877,51,NA,NA,NA,NA,NA,NA
989877,52,2,2,3,3,3,3
989877,53,2,2,3,3,3,3
989877,54,2,2,3,3,3,3
989877,55,NA,NA,3,2,NA,NA
989877,56,2,2,3,3,2,3
989877,57,NA,NA,3,2,NA,NA
989877,58,2,1,3,2,2,4
989877,59,NA,NA,NA,NA,NA,NA
989877,60,2,2,3,3,3,3
989877,61,NA,NA,NA,NA,NA,NA
989877,62,1,1,3,4,2,3
989877,64,2,2,2,3,2,3
989877,66,1,2,3,3,3,4
989877,68,2,3,3,4,3,3
989877,69,1,3,2,4,3,3
989878,1,2,1,2,1,4,3
989878,2,2,2,2,2,2,3
989878,3,NA,NA,NA,NA,NA,NA
989878,4,2,2,3,3,NA,NA
989878,5,NA,NA,NA,NA,NA,NA
989878,6,3,2,3,2,2,2
989878,7,2,2,3,3,2,3
989878,8,2,1,NA,NA,NA,NA
989878,9,NA,NA,NA,NA,NA,NA
989878,10,2,2,2,3,2,2
989878,11,NA,NA,NA,NA,NA,NA
989878,12,2,1,3,2,4,2
989878,13,2,2,3,3,3,3
989878,26,2,2,3,3,2,2
989878,27,2,2,3,3,2,2
989878,28,NA,NA,NA,NA,NA,NA
989878,29,2,2,3,3,2,3
989878,30,NA,NA,NA,NA,NA,NA
